Name	Category	Price	NetPrice	DeliveryTime	DeliveryCost	Description	Url
Дамски панталон с панделка в синьо Figl M523	zheni > pantaloni	2871	2261	6	0	<p>Дамски стилен панталон. Модела е изработен от мека на допир материя, страхотен за работа, подходящ за ежедневието. Съчетайте с риза и сако за една завършена визия. </p><p>30° Пране</p>	http://www.testshop.bg/damski-pantalon-s-pandelka-v-sino-figl-m523.html
Елегантни прашки Tiffany с дантела в цвят сметана/синьо, зелено	beljo > prashki	24240	19087	6	0	<p>- Предна част : дантела в цветове сметана, синьо и зелено в комбинация с втора дантела в цвят сметана <br>- Задна част композирана от дантела в цвят сметана</p><p> </p>	http://www.testshop.bg/elegantni-prashki-tiffany-s-dantela-v-tzviat-smetana-sino-zeleno.html
Дамска блуза TOP SECRET OKAY SPL0259	zheni > bluzi	4588	3613	6	0	<p>Модерна блуза с щампа. </p><p>Изключително модерна и стилна, идеална за спортно - елегантния стайлинг. </p><p>100% Вискоза. </p><p>Моделът носи размер S и е висок 172  см. </p><p> </p>	http://www.testshop.bg/damska-bluza-top-secret-okay-spl0259.html
Дамска мини рокля TROLL BLACK	zheni > rokli	25195	19839	6	0	<p>Дамска мини рокля в парти стил. </p><p>Малка черна рокля от много фин плат с 3/4 ръкави и цип. </p><p>Перфектна за нощния стайлинг в комбинация с обувки на висок ток. </p><p>2% Еластан, 98% Полиестер. </p><p>Моделът носи размер S и е висок 173 см. </p>	http://www.testshop.bg/damska-mini-roklia-troll-black.html
Бикини Cornelia Figi	beljo > bikini	48708	38353	6	0	<p> - Предна част - комбинация от микрофибър и еластичен плат <br> - Задна част композирана от розов микрофибър</p>	http://www.testshop.bg/stilni-bikini-cornelia-v-tzviat-rozovo-bordo.html
Прашки Arabella String	beljo > prashki	34820	27417	6	0	<p>- Композиция от дантела и ликра в предната част <br>- Задна част изцяло от бял микрофибър</p>	http://www.testshop.bg/elegantni-prashki-arabella-v-tzviat-bial.html
Дамска блуза DRYWASH DARKBLUE	zheni > bluzi	17226	13564	6	0	<p>Модела е със свободна кройка, изработен от по- плътен плат. </p><p>Блузата е с 3/4 ръкави и висока яка, напълно подходящ за всеки ден. </p><p>Моделът носи размер 36 и е висок 178 см. </p><p>95% полиестер, 5% Еластан. </p>	http://www.testshop.bg/damski-suichar-top-secret-darkblue.html
Мъжка блуза TOP SECRET GREY	myzhe > myzhki bluzi	1826	1438	6	0	<p>Мъжка блуза изработена от мек тънък плат. </p><p>Суичъра е със страхотна кройка, V-образна фейк яка. </p><p>Бъдете моредни във вашето ежедневие. </p><p>40% Полиестер, 60% Памук. </p><p>Моделът носи М размер и е висок 190 см. </p><p> </p>	http://www.testshop.bg/mazka-bluza-top-secret-grey.html
Дамска рокля с 3/4 ръкав РАДЕКС	zheni > rokli	49978	39353	6	0	<p>80% вискоза, 15% полиестер, 5% еластан</p>	http://www.testshop.bg/damska-roklia-s-3-4-rakav-radeks.html
Мъжка блуза SUBLEVEL NAVY	myzhe > myzhki bluzi	13625	10728	6	0	<p>Мъжка блуза с дълъг ръкав</p><p>Джобче на гърдите. </p><p>63% Полиестер / 37% Памук</p>	http://www.testshop.bg/mazka-bluza-sublevel-navy.html
