Name	Category	Price	NetPrice	DeliveryTime	DeliveryCost	Description	Url	ItemCode
006R90237 - Cartus toner XEROX black 4920, 4925 (006R90237)	Tonere, cartuse, consumabile > Laser	22379	17621	6	FREE	"<p> 	Cod: 006R90237</p> <p> 	Folosit la echipamentele Xerox 4920, 4925</p>"	http://www.testshop.ro/cartus-toner-negru-006R90237	10515
006R90238 - Cartus toner XEROX cyan 4920, 4925 (006R90238)	Tonere, cartuse, consumabile > Laser	28384	22350	6	FREE	"<p> 	Cod: 006R90238</p> <p> 	Culoare: cyan</p> <p> 	Folosit la echipamentele Xerox 4920; 4925</p>"	http://www.testshop.ro/cartus-toner-cyan-xerox-006R90238	10090
006R90239 - Cartus toner XEROX magenta 4920, 4925 (006R90239)	Tonere, cartuse, consumabile > Laser	4429	3487	6	FREE	"<p> 	Cod: 006R90239</p> <p> 	Culoare: magenta</p> <p> 	Folosit la echipamentele Xerox 4920; 4925</p>"	http://www.testshop.ro/cartus-toner-magenta-006R90239	10579
006R90240 - Cartus toner XEROX yellow 4920, 4925 (006R90240)	Tonere, cartuse, consumabile > Laser	15693	12357	6	FREE	"<p> 	Cod: 006R90240</p> <p> 	Culoare: yellow</p> <p> 	Folosit la echipamentele Xerox 4920, 4925</p>"	http://www.testshop.ro/cartus-toner-xerox-yellow-006R90240	10738
106R00088 - Cartus toner XEROX 4512 (106R00088)	Tonere, cartuse, consumabile > Laser	29526	23249	6	FREE	"<p> 	Cod: 106R00088</p> <p> 	Cartus toner imprimanta Xerox 4512</p>"	http://www.testshop.ro/index.php?route=product/product&product_id=1189	10162
106R00396 - Cartus toner XEROX Pro 737, 745 (106R00396)	Tonere, cartuse, consumabile > Laser	23265	18319	6	FREE	"<p> 	Cod: 106R00396 </p> <p> 	Folosit la echipamentele Xerox Pro 735, Xerox Pro 745</p>"	http://www.testshop.ro/cartis-toner-106R00396-xerox	10474
106R00398 - Cartus toner XEROX P1202 (106R00398)	Tonere, cartuse, consumabile > Laser	20295	15980	6	FREE	"<p> 	Cod: 106R00398</p> <p> 	Folosit la echipamentele Xerox P1202</p>"	http://www.testshop.ro/cartus-toner-106R00398-xerox	10998
108R00093 - Fuser XEROX N17/4517 (108R00093)	Tonere, cartuse, consumabile > Laser	20216	15918	6	FREE	"<p> 	<strong>Cuptor Xerox N17/Xerox 4517 <br> 	</strong></p> <p> 	Cod produs: <strong>108R00093</strong></p> <p> 	Folosit la echipamentele N17 si Xerox 4517</p>"	http://www.testshop.ro/fuser-xerox-108R00093	10119
126K23583 - Fuser Xerox pentru WorkCentre 5020/5016 (126K23583)	Tonere, cartuse, consumabile > Laser	4303	3388	6	FREE	"<p> 	Cod: 126K23583</p> <p> 	Folosit la echipamentele Xerox WorkCentre 5020/5016</p>"	http://www.testshop.ro/fuser-126K23583	10428
126K30556 - Fuser Xerox pentru WorkCentre 5019/5021/5022/5024 (kit mentenanta) (126K30556)	Tonere, cartuse, consumabile > Laser	10591	8339	6	FREE	"<p> 	Fuser - kit mentenanta</p> <p> 	Cod: 126K30556</p> <p> 	Folosit la echipamentele Xerox WorkCentre 5019/5021/5022/5024</p> <p> 	Echivalent cu 126K30553/ 126K30557</p>"	http://www.testshop.ro/fuser-126K30556-xerox	10566
