"id";"partner_id";"name";"category";"net_price";"price";"delivery_time";"delivery_cost";"description";"url"
"5935";"1";"323";"3232";"2261";"2871";"6";"0";"fsdf";"http://www.testshop.bg/damski-pantalon-s-pandelka-v-sino-figl-m523.html"
"5936";"1";"Елегантни прашки Tiffany с дантела в цвят сметана/синьо, зелено";"beljo > prashki";"19087";"24240";"6";"0";"<p>- Предна част : дантела в цветове сметана, синьо и зелено в комбинация с втора дантела в цвят сметана <br>- Задна част композирана от дантела в цвят сметана</p><p> </p>";"http://www.testshop.bg/elegantni-prashki-tiffany-s-dantela-v-tzviat-smetana-sino-zeleno.html"
"5937";"1";"Дамска блуза TOP SECRET OKAY SPL0259";"zheni > bluzi";"3613";"4588";"6";"0";"<p>Модерна блуза с щампа. </p><p>Изключително модерна и стилна, идеална за спортно - елегантния стайлинг. </p><p>100% Вискоза. </p><p>Моделът носи размер S и е висок 172  см. </p><p> </p>";"http://www.testshop.bg/damska-bluza-top-secret-okay-spl0259.html"
"5938";"1";"Дамска мини рокля TROLL BLACK";"zheni > rokli";"19839";"25195";"6";"0";"<p>Дамска мини рокля в парти стил. </p><p>Малка черна рокля от много фин плат с 3/4 ръкави и цип. </p><p>Перфектна за нощния стайлинг в комбинация с обувки на висок ток. </p><p>2% Еластан, 98% Полиестер. </p><p>Моделът носи размер S и е висок 173 см. </p>";"http://www.testshop.bg/damska-mini-roklia-troll-black.html"
"5939";"1";"Бикини Cornelia Figi";"beljo > bikini";"38353";"48708";"6";"0";"<p> - Предна част - комбинация от микрофибър и еластичен плат <br> - Задна част композирана от розов микрофибър</p>";"http://www.testshop.bg/stilni-bikini-cornelia-v-tzviat-rozovo-bordo.html"
"5940";"1";"Прашки Arabella String";"beljo > prashki";"27417";"34820";"6";"0";"<p>- Композиция от дантела и ликра в предната част <br>- Задна част изцяло от бял микрофибър</p>";"http://www.testshop.bg/elegantni-prashki-arabella-v-tzviat-bial.html"
"5941";"1";"Дамска блуза DRYWASH DARKBLUE";"zheni > bluzi";"13564";"17226";"6";"0";"<p>Модела е със свободна кройка, изработен от по- плътен плат. </p><p>Блузата е с 3/4 ръкави и висока яка, напълно подходящ за всеки ден. </p><p>Моделът носи размер 36 и е висок 178 см. </p><p>95% полиестер, 5% Еластан. </p>";"http://www.testshop.bg/damski-suichar-top-secret-darkblue.html"
"5942";"1";"Мъжка блуза TOP SECRET GREY";"myzhe > myzhki bluzi";"1438";"1826";"6";"0";"<p>Мъжка блуза изработена от мек тънък плат. </p><p>Суичъра е със страхотна кройка, V-образна фейк яка. </p><p>Бъдете моредни във вашето ежедневие. </p><p>40% Полиестер, 60% Памук. </p><p>Моделът носи М размер и е висок 190 см. </p><p> </p>";"http://www.testshop.bg/mazka-bluza-top-secret-grey.html"
"5943";"1";"Дамска рокля с 3/4 ръкав РАДЕКС";"zheni > rokli";"39353";"49978";"6";"0";"<p>80% вискоза, 15% полиестер, 5% еластан</p>";"http://www.testshop.bg/damska-roklia-s-3-4-rakav-radeks.html"
"5944";"1";"Мъжка блуза SUBLEVEL NAVY";"myzhe > myzhki bluzi";"10728";"13625";"6";"0";"<p>Мъжка блуза с дълъг ръкав</p><p>Джобче на гърдите. </p><p>63% Полиестер / 37% Памук</p>";"http://www.testshop.bg/mazka-bluza-sublevel-navy.html"
